,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2019-03-26,30000162,1.8038395,1.8073004000000001,1.7777418999999999,1.7598021000000001,1.7153409,1.661486,1.7400965
0,2019-03-25,30000162,1.8073004000000001,1.7777418999999999,1.7598021000000001,1.7153409,1.661486,1.7400965,1.7759762
0,2019-03-24,30000162,1.7777418999999999,1.7598021000000001,1.7153409,1.661486,1.7400965,1.7759762,1.7829331999999998
0,2019-03-23,30000162,1.7598021000000001,1.7153409,1.661486,1.7400965,1.7759762,1.7829331999999998,1.7551405
0,2019-03-22,30000162,1.7153409,1.661486,1.7400965,1.7759762,1.7829331999999998,1.7551405,1.7392488999999998
0,2019-03-21,30000162,1.661486,1.7400965,1.7759762,1.7829331999999998,1.7551405,1.7392488999999998,1.6853234000000001
0,2019-03-20,30000162,1.7400965,1.7759762,1.7829331999999998,1.7551405,1.7392488999999998,1.6853234000000001,1.6641346000000001
0,2019-03-19,30000162,1.7759762,1.7829331999999998,1.7551405,1.7392488999999998,1.6853234000000001,1.6641346000000001,1.7722328999999999
0,2019-03-18,30000162,1.7829331999999998,1.7551405,1.7392488999999998,1.6853234000000001,1.6641346000000001,1.7722328999999999,1.7510793000000002
0,2019-03-17,30000162,1.7551405,1.7392488999999998,1.6853234000000001,1.6641346000000001,1.7722328999999999,1.7510793000000002,1.7704671000000003
0,2019-03-16,30000162,1.7392488999999998,1.6853234000000001,1.6641346000000001,1.7722328999999999,1.7510793000000002,1.7704671000000003,1.7790133000000001
0,2019-03-15,30000162,1.6853234000000001,1.6641346000000001,1.7722328999999999,1.7510793000000002,1.7704671000000003,1.7790133000000001,1.7524566000000004
0,2019-03-14,30000162,1.6641346000000001,1.7722328999999999,1.7510793000000002,1.7704671000000003,1.7790133000000001,1.7524566000000004,1.7463471999999998
0,2019-03-13,30000162,1.7722328999999999,1.7510793000000002,1.7704671000000003,1.7790133000000001,1.7524566000000004,1.7463471999999998,1.7665825000000002
0,2019-03-12,30000162,1.7510793000000002,1.7704671000000003,1.7790133000000001,1.7524566000000004,1.7463471999999998,1.7665825000000002,1.7810262
0,2019-03-11,30000162,1.7704671000000003,1.7790133000000001,1.7524566000000004,1.7463471999999998,1.7665825000000002,1.7810262,1.7736101000000002
0,2019-03-10,30000162,1.7790133000000001,1.7524566000000004,1.7463471999999998,1.7665825000000002,1.7810262,1.7736101000000002,1.7672535
0,2019-03-09,30000162,1.7524566000000004,1.7463471999999998,1.7665825000000002,1.7810262,1.7736101000000002,1.7672535,1.7665825000000002
0,2019-03-08,30000162,1.7463471999999998,1.7665825000000002,1.7810262,1.7736101000000002,1.7672535,1.7665825000000002,1.7656995999999998
0,2019-03-07,30000162,1.7665825000000002,1.7810262,1.7736101000000002,1.7672535,1.7665825000000002,1.7656995999999998,1.7623801
0,2019-03-06,30000162,1.7810262,1.7736101000000002,1.7672535,1.7665825000000002,1.7656995999999998,1.7623801,1.7599433
0,2019-03-05,30000162,1.7736101000000002,1.7672535,1.7665825000000002,1.7656995999999998,1.7623801,1.7599433,1.7809556
0,2019-03-04,30000162,1.7672535,1.7665825000000002,1.7656995999999998,1.7623801,1.7599433,1.7809556,1.7902080000000002
0,2019-03-03,30000162,1.7665825000000002,1.7656995999999998,1.7623801,1.7599433,1.7809556,1.7902080000000002,1.747336
0,2019-03-02,30000162,1.7656995999999998,1.7623801,1.7599433,1.7809556,1.7902080000000002,1.747336,1.7478657
0,2019-03-01,30000162,1.7623801,1.7599433,1.7809556,1.7902080000000002,1.747336,1.7478657,1.8007317999999999
0,2019-02-28,30000162,1.7599433,1.7809556,1.7902080000000002,1.747336,1.7478657,1.8007317999999999,1.7635101000000002
0,2019-02-27,30000162,1.7809556,1.7902080000000002,1.747336,1.7478657,1.8007317999999999,1.7635101000000002,1.7560586999999999
0,2019-02-26,30000162,1.7902080000000002,1.747336,1.7478657,1.8007317999999999,1.7635101000000002,1.7560586999999999,1.7735748
0,2019-02-25,30000162,1.747336,1.7478657,1.8007317999999999,1.7635101000000002,1.7560586999999999,1.7735748,1.7689486
0,2019-02-24,30000162,1.7478657,1.8007317999999999,1.7635101000000002,1.7560586999999999,1.7735748,1.7689486,1.7934922999999998
0,2019-02-23,30000162,1.8007317999999999,1.7635101000000002,1.7560586999999999,1.7735748,1.7689486,1.7934922999999998,1.7868531000000003
0,2019-02-22,30000162,1.7635101000000002,1.7560586999999999,1.7735748,1.7689486,1.7934922999999998,1.7868531000000003,1.7849108
0,2019-02-21,30000162,1.7560586999999999,1.7735748,1.7689486,1.7934922999999998,1.7868531000000003,1.7849108,1.7900668000000002
0,2019-02-20,30000162,1.7735748,1.7689486,1.7934922999999998,1.7868531000000003,1.7849108,1.7900668000000002,1.7942339
0,2019-02-19,30000162,1.7689486,1.7934922999999998,1.7868531000000003,1.7849108,1.7900668000000002,1.7942339,1.7943044999999997
0,2019-02-18,30000162,1.7934922999999998,1.7868531000000003,1.7849108,1.7900668000000002,1.7942339,1.7943044999999997,1.7649226999999998
0,2019-02-17,30000162,1.7868531000000003,1.7849108,1.7900668000000002,1.7942339,1.7943044999999997,1.7649226999999998,1.8070884999999999
0,2019-02-16,30000162,1.7849108,1.7900668000000002,1.7942339,1.7943044999999997,1.7649226999999998,1.8070884999999999,1.8094898999999998
0,2019-02-15,30000162,1.7900668000000002,1.7942339,1.7943044999999997,1.7649226999999998,1.8070884999999999,1.8094898999999998,1.7997077000000001
0,2019-02-14,30000162,1.7942339,1.7943044999999997,1.7649226999999998,1.8070884999999999,1.8094898999999998,1.7997077000000001,1.8133745
0,2019-02-13,30000162,1.7943044999999997,1.7649226999999998,1.8070884999999999,1.8094898999999998,1.7997077000000001,1.8133745,1.8058878
0,2019-02-12,30000162,1.7649226999999998,1.8070884999999999,1.8094898999999998,1.7997077000000001,1.8133745,1.8058878,1.8306081000000003
0,2019-02-11,30000162,1.8070884999999999,1.8094898999999998,1.7997077000000001,1.8133745,1.8058878,1.8306081000000003,1.8016853
0,2019-02-10,30000162,1.8094898999999998,1.7997077000000001,1.8133745,1.8058878,1.8306081000000003,1.8016853,1.8114675
0,2019-02-09,30000162,1.7997077000000001,1.8133745,1.8058878,1.8306081000000003,1.8016853,1.8114675,1.7943398999999998
